,MAE,RMSE,MAPE (%),SMAPE (%),R2,Max Err (km),Mean Err (km)
SGP4,inf,inf,inf,181.2595418979603,,inf,inf
Hybrid,inf,inf,inf,183.8354159697875,,inf,inf
