,MAE,RMSE,MAPE (%),SMAPE (%),R2,Max Err (km),Mean Err (km)
SGP4,80.02115747835376,141.62939466623223,352613.56221786916,71.4206100576952,0.9968225947998546,950.7588281866111,319.39656235162994
Hybrid,20.153655411700125,36.751979300909596,6695490.0172021855,53.14881942751963,0.9997860426202739,901.9729742964207,80.5912544640825
