time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
0.0,6993.0,0.0,0.0,0.0,4.691903811215644,5.919709344536909
11.66870197734938,6992.445093185078,54.746979143940784,69.07349704161662,-0.09510902841841058,4.691531500448706,5.919239605255203
23.33740395469876,6990.780461070125,109.48526975300923,138.13603188043805,-0.190202917428782,4.690414627766636,5.917830462630219
35.00610593204814,6988.006368630267,164.2061846836414,207.17664406906343,-0.2852665300761558,4.688553372015789,5.9154821423099
46.67480790939752,6984.123257443013,218.9010395746611,276.18437667059146,-0.38028473431131243,4.685948031240472,5.912195020332574
58.3435098867469,6979.131745616694,273.56115423788856,345.1482780131322,-0.4752424054425637,4.682599022633525,5.907969623064607
70.01221186409629,6973.032627690327,328.17785404807654,414.0574034434697,-0.5701244285863035,4.678506882467146,5.9028066271131205
81.68091384144566,6965.826874504864,382.7424713319043,482.9008170795361,-0.6649157011158251,4.673672266003976,5.896706859213815
93.34961581879504,6957.515633045906,437.2463467558289,551.6675935614448,-0.7596011351080328,4.6680959473884585,5.889671296093897
105.01831779614443,6948.100226257852,491.68083071255177,620.3468198007755,-0.854165659787602,4.661778819518492,5.881701064310142
116.6870197734938,6937.58215282958,546.0372847058754,688.9275967278282,-0.9485942239681725,4.654721893897406,5.872797440062136
128.35572175084317,6925.963086951628,600.3070827337073,757.3990410365404,-1.042871798490134,4.646926300466279,5.862961848980721
140.02442372819257,6913.244878044968,654.4816126690116,825.7502869268149,-1.1369833786546253,4.638393287416641,5.852195865891671
151.69312570554195,6899.42955046141,708.5522776384461,893.970487843925,-1.230913986653273,4.629124220983585,5.840501214554674
163.36182768289132,6884.519303155658,762.5104973984722,962.0488182147353,-1.3246486739932815,4.619120585219332,5.827879767377637
175.03052966024072,6868.516509329123,816.3477097087169,1029.9744751804521,-1.4181725239174525,4.608383981747292,5.814333545106393
186.6992316375901,6851.423716045509,870.0553717023448,1097.7366803256027,-1.5114706538187113,4.596916129496665,5.7998647164898465
198.36793361493946,6833.243643818267,923.6249612532151,1165.3246814029587,-1.6045282176487081,4.5847188644176375,5.78447559792064
210.03663559228886,6813.979186169984,977.047978339621,1232.7277540541463,-1.6973304083201266,4.571794139177215,5.768168653051392
221.70533756963823,6793.633409163775,1030.3159464043458,1299.9352035256106,-1.789862460102223,4.558144022835758,5.750946492386593
233.3740395469876,6772.20955090676,1083.4204137108457,1366.9363663796914,-1.8821096510092243,4.543770700504284,5.732811872850218
245.042741524337,6749.7110210257215,1136.3529546953157,1433.7206122005077,-1.9740573051811674,4.528676472982594,5.71376769732916
256.71144350168635,6726.1414001150215,1189.1051713144225,1500.2773452943711,-2.0656907952567556,4.512863756378287,5.693817014192547
268.3801454790358,6701.504439156886,1241.6686943884868,1566.5960063844632,-2.1569955447378493,4.496335081706742,5.672963016787045
280.04884745638515,6675.804058914141,1294.035184939872,1632.6660742994575,-2.2479570303451464,4.479093094472144,5.651209042908242
291.7175494337345,6649.044349295519,1346.1963355263933,1698.4770676558674,-2.3385607843647005,4.461140554229617,5.628558574248202
303.3862514110839,6621.229568693641,1398.143871569495,1764.0185465337863,-2.428792396984827,4.442480334128567,5.605015235819302
315.05495338843326,6592.3641432957875,1449.8695526769907,1829.280114145771,-2.5186375186230134,4.4231154204373055,5.580582795354456
326.72365536578263,6562.4526663675715,1501.3651739601517,1894.251418498594,-2.6080818622424515,4.403048912049038,5.555265162683831
338.39235734313206,6531.499897509651,1552.622567344923,1958.9221540475862,-2.6971112056577766,4.3822840199693305,5.529066389088194
350.06105932048143,6499.5107618876045,1603.633602877041,2023.282063343285,-2.7857113938296076,4.360824066785126,5.501990666628969
361.7297612978308,6466.490349435082,1654.3901900208675,2087.3209386701565,-2.873868341147553,4.3386724861154295,5.474042327455176
373.3984632751802,6432.443914030406,1704.884278951689,2151.02862367707,-2.9615680337012193,4.315832822043741,5.445225843087345
385.06716525252955,6397.376872646726,1755.1078618412964,2214.395014999295,-3.0487965315388883,4.2923087285323644,5.415545823678555
396.7358672298789,6361.294804475916,1805.052974136622,2277.4100638717446,-3.1355399709134613,4.2681039688186955,5.385007017252737
408.4045692072283,6324.203450026313,1854.7116958312258,2340.0637777331845,-3.2217845665152796,4.243222414793586,5.353614308920364
420.0732711845777,6286.108710194487,1904.0761527294405,2402.3462218211926,-3.3075166136914924,4.217668046361914,5.321372720071698
431.7419731619271,6247.016645311224,1953.1385177029165,2464.2475207575226,-3.3927224906514906,4.191444950785484,5.2882874075477275
443.41067513927646,6206.933474161803,2001.8910119394363,2525.7578601237155,-3.477388660658175,4.164557322008354,5.254363662788948
455.07937711662584,6165.865572980841,2050.3259061837316,2586.8674880266212,-3.5615016742045698,4.137009459964739,5.219606910962157
466.7480790939752,6123.819474421785,2098.4355219701274,2647.5667166536073,-3.645048171175476,4.108805769869613,5.1840227100654035
