time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
11.66870197734938,6992.444343586955,54.746977193907895,69.07348964483127,-0.09523749975856831,4.6915309975524675,5.919237701607704
23.33740395469876,6990.777463290867,109.48525411310175,138.13597265771702,-0.19045975507812507,4.6904126170973335,5.917822849598365
35.00610593204814,6987.999625874307,164.20613219966475,207.17644458423538,-0.28565152685135087,4.688548851318676,5.915465018673051
46.67480790939752,6984.111276033766,218.9009148296842,276.18390342285375,-0.38079757440083506,4.685940003020006,5.912164592889515
58.3435098867469,6979.1130361728865,273.5609102961105,345.14735340831714,-0.47588266736080576,4.682586495836852,5.907922109561735
70.01221186409629,6973.005706277343,328.17743289558837,414.0558063901899,-0.5708915917259293,4.678488873952076,5.902738258899336
81.68091384144566,6965.79026381445,382.74180361537867,482.8982827039938,-0.6658091443991263,4.673647802409325,5.896613884404042
93.34961581879504,6957.467863782204,437.24535115408355,551.6638124657375,-0.76062012932848,4.668064067532634,5.889549983400471
105.01831779614443,6948.0398381789255,491.67941500985245,620.3414394889686,-0.8553093743283182,4.6617385756983305,5.881547705480269
116.6870197734938,6937.507695856181,546.0353461332782,688.9202221128796,-0.9498617333443539,4.654672353128383,5.872608352240199
128.35572175084317,6925.873122378014,600.3045076429236,757.3892341097059,-1.0442620789719226,4.646866546574595,5.8627333781475945
140.02442372819257,6913.137979885854,654.4782762274019,825.7375664629913,-1.1384953032787815,4.6383224233866525,5.8519243906255785
151.69312570554195,6899.304306340598,708.5480450109362,893.954331002182,-1.2325463332174618,4.6290413698619854,5.84018314796241
163.36182768289132,6884.374315365629,762.5052240283613,962.0286610050799,-1.3264001314583,4.619024891122103,5.827511559154526
175.03052966024072,6868.350396071303,816.3412409438616,1029.949712109308,-1.4200416874180646,4.608274612234702,5.813911685325973
186.6992316375901,6851.235112658841,870.0475428307143,1097.706664569592,-1.5134560224846796,4.596792277657293,5.799385739022548
198.36793361493946,6833.0312035153565,923.6155987098558,1165.2887264775368,-1.6066282033322574,4.584579749351158,5.783936081822134
210.03663559228886,6813.741581034479,977.0368999577856,1232.6851342789596,-1.6995433417378403,4.57163900677194,5.767565224322251
221.70533756963823,6793.369331409131,1030.302961016376,1299.8851536740442,-1.7921865847689291,4.557972148430483,5.750275828114473
233.3740395469876,6771.9177139239355,1083.4053214945488,1366.8780822829017,-1.8845431236123606,4.543581390546156,5.732070704077428
245.042741524337,6749.3901599698465,1136.3355483618982,1433.653252427767,-1.9765982047133384,4.528469065073541,5.712952809876435
256.71144350168635,6725.790272823273,1189.085236352976,1500.2000316457295,-2.068337128824166,4.512637619828683,5.692925250122584
268.3801454790358,6701.121827409517,1241.6460086591023,1566.5078235660776,-2.159745240921984,4.49608962044391,5.671991278845484
280.04884745638515,6675.388769258002,1294.0095192788747,1632.566070891375,-2.2508079416744735,4.478827748169648,5.650154296707622
291.7175494337345,6648.59521348127,1346.167454896387,1698.364257779551,-2.3415106966601775,4.460854797903035,5.627417848506306
303.3862514110839,6620.745444495274,1398.111535311713,1763.8919103898484,-2.4318390348248102,4.442173678463485,5.603785623521481
315.05495338843326,6591.843915755865,1449.8335141071063,1829.1385977277077,-2.5217785385222284,4.422787414881644,5.579261458411089
326.72365536578263,6561.8952483716475,1501.3251811716282,1894.0939348465524,-2.6113148566970397,4.402699145367846,5.553849333369727
338.39235734313206,6530.904230068588,1552.5783643176078,1958.7475848978227,-2.7004337125894797,4.381912119372375,5.5275533696706045
350.06105932048143,6498.875814841251,1603.5849297432774,2023.0892597176905,-2.789120901758836,4.360429698012457,5.500377830204703
361.7297612978308,6465.815122663602,1654.3367826687743,2087.1087206336642,-2.8773622824342233,4.338255356649191,5.47232712274033
373.3984632751802,6431.727437771687,1704.825869963639,2150.795781796683,-2.965143789648481,4.315392681089309,5.4434057951105
385.06716525252955,6396.6182076123,1755.0441815659826,2214.140311980858,-3.0524514418598496,4.29184536565748,5.413618532770076
396.7358672298789,6360.493042425036,1804.98375096717,2277.1322351981407,-3.139271338710803,4.267617213760549,5.382970159508326
408.4045692072283,6323.357714925519,1854.6366558173386,2339.7615314662844,-3.22558965169683,4.242712140738677,5.351465641055218
420.0732711845777,6285.218158286237,1903.995020588573,2402.0182401859956,-3.311392638661525,4.217134169392127,5.319110079413705
431.7419731619271,6246.080465046381,1953.0510178644631,2463.892461776225,-3.3966666497373206,4.190887428008066,5.285908710359162
443.41067513927646,6205.950886635319,2001.7968688275382,2525.374358292307,-3.4813981250175337,4.163976151029501,5.251866904284167
455.07937711662584,6164.835833021787,2050.224843837962,2586.4541541599247,-3.5655735854382677,4.136404682203125,5.216990170179969
466.7480790939752,6122.741870437012,2098.3272650688637,2647.1221395167336,-3.649179647183703,4.108177469538915,5.181284149250231
478.4167810713246,6079.675720203463,2146.0965077324186,2707.368671767057,-3.7322030272998874,4.079299063203706,5.144754612241612
490.085483048674,6035.64425821945,2193.525000547687,2767.1841761751652,-3.8146305414529227,4.0497741162460805,5.107407460359166
501.7541850260234,5990.654514563313,2240.6052262982557,2826.5591465725506,-3.8964490948875805,4.019607388087924,5.069248729682368
513.4228870033727,5944.713671018249,2287.329724380115,2885.4841485884153,-3.977645696367116,3.988803739047454,5.03028458422584
525.0915889807221,5897.829059761241,2333.6910920251357,2943.949821200956,-4.058207463769727,3.9573681279843385,4.990521312955076
536.7602909580716,5850.0081628338385,2379.6819847292045,3001.946877280264,-4.138121622080783,3.925305613022159,4.949965330698654
548.4289929354209,5801.258611687562,2425.295116794356,3059.4661042759526,-4.21737549433738,3.8926213554307285,4.9086231830583
560.0976949127703,5751.588184583738,2470.523263734526,3116.4983672671774,-4.295956514740013,3.8593206138841456,4.866501539133964
571.7663968901196,5701.0048050714995,2515.3592635487307,3173.0346105767962,-4.373852234505827,3.825408741714548,4.823607188043641
583.435098867469,5649.516541470171,2559.7960170955453,3229.065858246201,-4.451050320200458,3.79089118757313,4.779947039757814
595.1038008448184,5597.131606341734,2603.8264886233414,3284.5832147078836,-4.527538544677889,3.755773499720164,4.735528130524881
606.7725028221678,5543.85835385016,2647.4437079857325,3339.577867593888,-4.603304798977481,3.7200613202507222,4.690357615555271
618.4412047995172,5489.705277950945,2690.640772005015,3394.0410894642378,-4.678337098673192,3.683760381788173,4.644442764831392
630.1099067768665,5434.681011905291,2733.4108447875096,3447.964238206746,-4.75262358260024,3.646876508032642,4.597790963799728
641.778608754216,5378.794327667404,2775.747158242999,3501.3387576958908,-4.826152503919306,3.609415618418807,4.550409719261017
653.4473107315653,5322.0541332949015,2817.643014070085,3554.156180309314,-4.898912240391425,3.571383722613221,4.50230665239827
665.1160127089147,5264.469470773701,2859.091785235677,3606.4081288031216,-4.970891301412616,3.5327869164619297,4.453489493641766
676.7847146862641,5206.049515573708,2900.0869162349163,3658.0863166414033,-5.042078327144702,3.4936313823877847,4.403966083170018
688.4534166636134,5146.803575942367,2940.6219235986487,3709.1825486399175,-5.112462079933296,3.4539233943054635,4.353744377124765
700.1221186409629,5086.74109045855,2980.690397619754,3759.688723154,-5.1820314525757105,3.413669312755163,4.302832441444701
711.7908206183122,5025.871625427895,3020.2860039570064,3809.5968341112184,-5.250775476151995,3.372875579923029,4.25123844555594
723.4595225956616,4964.2048744748845,3059.402483851812,3858.898971286098,-5.318683319538822,3.3315487198594034,4.19897066264655
735.1282245730109,4901.750657738927,3098.0336546208464,3907.5873209249544,-5.385744281460018,3.2896953434758536,4.1460374759846115
746.7969265503604,4838.518919656243,3136.1734111080973,3955.654167585953,-5.451947796456034,3.247322144704501,4.092447374050397
758.4656285277098,4774.519725883328,3173.81572740219,4003.0918963151903,-5.517283443511083,3.204435894446954,4.0382089428696535
770.1343305050591,4709.763262902605,3210.9546570288417,4049.8929928905886,-5.58174094591941,3.1610434405879033,3.983330866029263
781.8030324824085,4644.259837123677,3247.584333424314,4096.05004442233,-5.645310164229557,3.117151712860741,3.927821930828378
793.4717344597578,4578.019872958378,3283.698971114407,4141.555740846733,-5.707981099790703,3.0727677203879558,3.87169102515884
805.1404364371073,4511.053909264157,3319.2928675149396,4186.402877207242,-5.769743904041775,3.027898544489869,3.814947128394427
816.8091384144566,4443.372598921764,3354.360403122856,4230.584353896556,-5.830588878708273,2.982551338458037,3.75759931110256
828.477840391806,4374.986707852704,3388.8960419644472,4274.0931772249605,-5.890506469822047,2.9367333320788345,3.699656740762106
840.1465423691554,4305.907113421046,3422.8943325205487,4316.9224605925265,-5.949487268934381,2.8904518308099365,3.6411286807146306
851.8152443465048,4236.144800431381,3456.3499095629595,4359.065426815082,-6.007522022801646,2.843714207488916,3.582024479660531
863.4839463238542,4165.710860619976,3489.2574943677555,4400.515408394399,-6.064601633908021,2.7965279018102303,3.5223535709954628
875.1526483012035,4094.616491609808,3521.611895130476,4441.265848044502,-6.120717155625354,2.7489004243423016,3.4621254778869
886.8213502785529,4022.872995631681,3553.4080076734313,4481.310299587795,-6.175859791398768,2.700839357440297,3.4013498144227508
898.4900522559024,3950.491775156512,3584.6408172597708,4520.642430252069,-6.230020904466799,2.6523523460174854,3.3400362739208846
910.1587542332517,3877.484332229761,3615.305398849176,4559.256020994282,-6.283192018717311,2.603447096645884,3.2781946277889302
921.8274562106011,3803.8622673958453,3645.3969174712065,4597.144966973662,-6.335364814930819,2.5541313809805013,3.215834729850573
933.4961581879504,3729.637278688133,3674.910628762183,4634.30327823197,-6.386531128410313,2.504413038331176,3.152966519593439
945.1648601652998,3654.8211570127983,3703.841880696333,4670.725081884772,-6.43668295833989,2.454299965767002,3.0896000096344958
956.8335621426492,3579.425785254154,3732.186113896564,4706.404622514843,-6.485812468976155,2.403800116745985,3.025745283983258
968.5022641199986,3503.4631372073227,3759.9388619579927,4741.336262581955,-6.533911986824756,2.3529215039487066,2.961412501620922
980.170966097348,3426.945276752529,3787.095751865162,4775.514482951612,-6.580973997264781,2.301672203274224,2.8966119015497216
991.8396680746973,3349.884353126613,3813.652505587562,4808.933884913839,-6.626991153190387,2.2500603436081947,2.8313537898330496
1003.5083700520468,3272.292599737869,3839.604940447288,4841.589190648402,-6.6719562765137725,2.1980941048934226,2.765648537150427
1015.1770720293961,3194.1823331452824,3864.9489693880455,4873.4752435653645,-6.715862356076952,2.1457817204505245,2.69950658172781
1026.8457740067454,3115.5659523180907,3889.680601317583,4904.587008739094,-6.758702543802726,2.0931314820630793,2.6329384357643972
1038.5144759840948,3036.4559339226307,3913.795942531477,4934.919574708922,-6.800470162368347,2.04015172973069,2.565954672454329
1050.1831779614442,2956.8648308110946,3937.291197126935,4964.46815400245,-6.8411587069537205,1.9868508491276793,2.4985659227666512
1061.8518799387937,2876.805271074883,3960.1626672177667,4993.228083407558,-6.880761843689537,1.9332372735334908,2.4307828778821983
1073.520581916143,2796.2899573012423,3982.40675323398,5021.194824352088,-6.919273405771611,1.8793194896500944,2.362616296545839
1085.1892838934923,2715.3316619656543,4004.019955158872,5048.363964467488,-6.95668740005354,1.8251060275781448,2.2940769923713726
1096.8579858708417,2633.943225597652,4024.998872966619,5074.731218141844,-6.992998008928226,1.7706054576743118,2.225175829859843
1108.5266878481912,2552.1375559159214,4045.3402067891902,5100.292426730906,-7.028199589145328,1.7158263922255428,2.1559237265126887
1120.1953898255406,2469.9276270269525,4065.0407571897845,5125.043558904528,-7.062286668194398,1.6607774916899014,2.086331660718552
1131.86409180289,2387.326474953685,4084.0974262179793,5148.980711979388,-7.09525394983414,1.6054674549958232,2.0164106594679825
1143.5327937802392,2304.3471955288555,4102.507217840747,5172.100112463225,-7.127096315962298,1.5499050158903338,1.9461717937270677
1155.2014957575886,2221.0029435890615,4120.267238071999,5194.398116218455,-7.157808825681131,1.4940989444745565,1.875626180375203
1166.870197734938,2137.3069321163075,4137.374695222174,5215.871208778257,-7.1873867121285535,1.4380580536542624,1.8047849903561375
1178.5388997122875,2053.2724278550327,4153.826900790932,5236.516006473035,-7.215825387051072,1.3817911896976862,1.733659436720714
1190.2076016896367,1968.9127490325382,4169.621269858691,5256.329256924227,-7.243120442509074,1.3253072282513914,1.6622607695798155
1201.8763036669861,1884.2412645758545,4184.755321188528,5275.3078391728095,-7.269267650107789,1.2686150758427004,1.5906002780002224
1213.5450056443356,1799.2713932163795,4199.226677451707,5293.448763964756,-7.294262958373215,1.2117236763920103,1.518689298232869
1225.213707621685,1714.0165991112463,4213.033065976624,5310.74917469487,-7.3181024964959365,1.1546420018496661,1.4465392018563503
1236.8824095990344,1628.4903895136165,4226.1723190745115,5327.206347816873,-7.340782575744164,1.097379048111597,1.37416139060326
1248.5511115763836,1542.7063139768525,4238.642374119741,5342.817692944446,-7.3622996888065835,1.0399438366006115,1.3015672983554811
1260.219813553733,1456.6779634373374,4250.44127375323,5357.5807531084865,-7.382650507767947,0.9823454207032082,1.2287683992761431
1271.8885155310825,1370.4189657517288,4261.567166498021,5371.493205531378,-7.401831887114465,0.9245928762638449,1.1557761957733685
1283.557217508432,1283.9429834471277,4272.018307003404,5384.552861933563,-7.419840864776238,0.8666952976556658,1.0826022135233746
1295.2259194857813,1197.263712875272,4281.793056106661,5396.757668610906,-7.43667466155416,0.8086617995719005,1.0092580037308823
1306.8946214631305,1110.394883284766,4290.889881017582,5408.105706667855,-7.452330679728083,0.7505015232066122,0.93575515093658
1318.56332344048,1023.350252188854,4299.307355801675,5418.595192623286,-7.466806505348706,0.6922236264129328,0.8621052605563548
1330.2320254178294,936.1436033256159,4307.044161538575,5428.224478608481,-7.48009990889186,0.6338372801789929,0.788319954417871
1341.9007273951788,848.788745737552,4314.099086364969,5436.9920524205045,-7.492208844770953,0.5753516708042814,0.7144108735069138
1353.5694293725282,761.2995127998743,4320.471025645605,5444.896537737987,-7.5031314505851885,0.5167760055118502,0.6403896850553065
1365.2381313498774,673.6897573881831,4326.1589823141285,5451.9366945457805,-7.512866048656084,0.4581195022136644,0.5662680695837939
1376.9068333272269,585.97335014898,4331.16206695413,5458.111419235161,-7.521411146337316,0.39939138659379303,0.4920577172078688
1388.5755353045763,498.1641785103157,4335.4794978215605,5463.419744631037,-7.528765435658482,0.3406008948972703,0.41777033115750184
1400.2442372819257,410.2761455502757,4339.11060100422,5467.8608401926795,-7.534927793154636,0.2817572784698139,0.34341763350825844
1411.912939259275,322.32316504018326,4342.054810605326,5471.43401223841,-7.539897280580624,0.22286979329844742,0.2690113519408599
1423.5816412366244,234.31916006845398,4344.311668764873,5474.138703970543,-7.543673144966411,0.16394769782826035,0.19456321697595913
1435.2503432139738,146.27806200905275,4345.88082566217,5475.974495477265,-7.546254818497955,0.10500025660475638,0.12008496657169465
